ID ,Review ,Rating 
1,"It'd McDonalds. It is what it is as far as the food and atmosphere go. The staff here does make a difference. They are all friendly, accommodating and always smiling. Makes for a more pleasant experience than many other fast food places.",Positive 
2,"I repeat my order 3 times in the drive thru, and she still manage to mess it up , it was suppose to be a large meal double filet of fish with large fries , no cheese . It was all wrong , they either need to pay close attention to the order being made , understand English or they need not to work at a drive thru",Negative
3,I work for door dash and they locked us all out to wait in a long line for no reason at 10. I tried to beg them to open it because I'm door dash and they refused.  Covid is over get a new job,Negative
4,"If I  could give this location a zero on customer service, I  would. Pulled into drive through at 8:07 and placed a simple order. I order a regular hamburg and cookies. Once I paid and pulled up to the window to pick up, I  was told to pull up to the #1 space. I sat there and sat there and.........25 minutes later, no order. I  went in and no one was at the counter. I yelled ""hello"" three times. A young lady came up asking who was handling the front counter. A young girl appeared. To make this complaint shorter, I  showed my receipt and another 5 minutes later I got my order. There was another order with a drink sitting on the counter that never got to the person who ordered it. After getting home, I  had no regular hamburg but had cookies. Everyone, don't even bother going to this location again. It's a horrible experience every time as you can see by other reviews.",Negative
5,Went thru drive thru. Ordered. Getting home noticed my 10 piece nuggets where missing. Tried calling the restaurant and nothing. The lady gave me a hard time about extra sauce. Very unhappy .....,Negative
6,"We stopped by for a quick breakfast.  It was not crowded inside, but there was a pretty long drive thru.

Our order was supposed to have 3 food items and 2 drinks. They missed a food item. The lady ignored me when I told her.

My husband went to get it, she finished her task then handed it to him without a word or smile or anything.",Negative
7,"The morning crew seems fast and efficient. Night crew is a whole different experience, lines down the street, hour long waits. If this was a one time occurrence it wouldn't be so bad but this is a nightly problem. Beyond this the staff is so highly rude you leave wanting to crash your car through the building. Don't forget they will mistake your order almost every single time as well and serve it to you cold.",Negative
8,"Today, i was disappointed in that restaurant #11853 did not get me my FULL order, meaning I did not receive my condiments for my big breakfast with hot cakes. No butter, no syrup, and no utensils. Luckily this was a hiccup and not a regular thing. Oh, and the egg was half the size of the sausage.",Neutral
9,"Ordered food burger wrong and left out part of the order also. One of the drink cup lid not fattened. Poor service girl handing order at window on January 7, 2023 at 1pm.",Negative
10,This was a dine in experience. The tables were all dirty & we did not get our food after waiting 35 minutes. Chicken sandwich was burnt.,Negative
11,"The line wS extremely big and was moving very slowly, plus they were out of apple pies and strawberry cream pies, but they gave me substitute cinnabun, the staff was very apologetic for being slow & they were out of pies, but it was middle of the night and they were extremely under-staffed.",Positive 
12,The boy who attended me made me wait and when he saw that the drink was wrong he threw the bag of food at me with a grimace. So disappointed!,Negative
13,The staff seems to always be different which makes ordering sometimes a little difficult because they are in a state of perpetual learning which can also lead to waiting a bit longer but the lobby is always clean as well as the bathrooms,Positive 
14,"Can't believe experience with order taker. Went from drive thru and employee directly asks what do you want. He keeps rushing while taking order with no other cars placing order. We wanted to add one more item and asked for a minute. He keeps asking what else. When I said we are ready - no response. There were no other car placing order that time either. I told again we are ready. responded after a pause. Again what do you want... excuse me.. who talks to customers like this ??
I asked for his name to put a review and he flat out denied. I asked for receipt before handing my credit card. He swipes it and returns back my card. I m waiting for a receipt with my family in the car. He starts inputing another order on his tablet. Waited for sometime and then I waive my hand several times. He opens window and said you can get receipt from next window. Excuse me ??
Went to next window - picked up food, asked for Manager and got his name JAMAR. My receipt states 08/06/2022 7:20pm Order 05
I didn't want to complain but this was intolerable.",Negative
15,"Meh.. just meh. When I finally get the correct order, it is generally tasty. I'm a picky eater, and have found ways to navigate the menu to get items I like. Worked in the service industry for years as a server, bartender, and trainer. Taking and fulfilling orders is NOT hard, tedious at times though. I only go here when I see they are not busy, in hope that my order is correct when I go to leave. In the 10 times that I have been here in the past past year, I have only had 1 order that was perfectly correct. Just ONE, not an exaggeration. That one order was just 2 large fries and nothing else. Though I will mention that when I got home and pulled them out of the bag, they were hardly what you'd call filled, (nor did I enjoy any on the 3 minute drive home) so little so that I even sent a picture and post to McDonald's on Facebook, at least the few were hot. The evening staff is very pleasant, but the morning staff leaves a lot to be desired, as well as thinking that they can talk negatively about people in Spanish out in the open which, being a light skinned Puerto Rican, I understand perfectly. I have submitted several complaints and NEVER received a call or email back. I just don't go here anymore to avoid the stress of paying money for something that is most likely wrong.",Negative
16,Just needed caffeine. The staff at the drive thru just shoved the drink in my hands. Not very professional.,Negative
17,"This is consistently the worst meal you will pay for. Microwaved nuggets, cold fries and a 30 minute wait. What more can you ask for? Dont go here ever! Your better off going hungry or giving the meal you payed for to the homeless by the donation box behind the drive thru.",Negative
18,With all the new upgrades everything looks great and clean great staff,Positive 
19,Yet another McDonald's with horrible service and lazy employees. I mean c'mon do they intentionally hire unqualified people???,Negative
20,(Sarcasm) this was exactly what I ordered! A 20 minute wait in the drive through for a room temperature caramel mocha that was less than 2/3 full!,Negative
21,"This location is wack.
They will literally stop taking orders and make people sit in the parking lot for like 12 minutes until 3:00 a.m. so that they don't get to order dinner food anymore.
We have gone multiple times right after leaving the pinballz arcade just to sit in the parking lot in the Drive-Thru line waiting while they do nothing but wait for the order menu to change over.
Look McDonald's if I wanted a breakfast deluxe I wouldn't have shown up at 2:30 in the morning thank you.",Negative
22,They did not honor there advertised price. This is extra pickles.,Negative
23,"Just spent 10 minutes waiting at this McDonald's . According to Google they're open 24/7. Finally we pull up to the window to see if anyone was there, sure enough one employee seated in the lobby and another at the window. She told me they were closed. Whoever these two are they need to be replaced. Get it together McDonald's. You're a corporate power house and you have a reputation to keep. One of the most unprofessional experiences I've ever had with fast food. 0/10 would not recomend this location.",Negative
24,The staff are very friendly and they do their job perfectly,Positive 
25,Awesome service! Food hot!  Best ever,Positive 
26,"This is the WORST McDonald's EVER, I don't come here often because when I do my order is wrong EVERY TIME.  Today 2/25/22 1130am 1 the drive thru person could barely hear me and I was almost yelling 2 I get to the next window after paying and I'm asked what did you order?? I tell them at the end of me repeating my order I now have your entire staff looking CONFUSED AS HELL like I just dropped outta the sky now I'm being asked did I pay? Are you sure you ordered at the speaker? Now all of ya'll wear head sets except for the cooks the worst leadership I've ever seen",Negative
27,"Me and my girlfriend came tonight to pick up our food after 11pm for a mobile order, they need a better system if you are walking on foot. The food tasted great, loved the McDonald's deal ordering from the app.",Neutral
28,"Been frequenting this location for a few years.Morning,mid-day and night,the food is always hot,fresh and served with a smile.",Positive 
29,The drinks were watered down and the employee was downright rude when asked to replace the drinks.!!,Negative
30,"I ordered a Large fry buy after arriving to my destination I saw they did not fill the carton up.  They gave me a small portion for what I paid for.  This is not right and management needs to correct this.  Stealing from customers is plain wrong.  When ordering a large, they expect to get what should come in a large.  I noticed after my bad experience that your reviews are low.  In order order to create a good business, giving people an exceptional experience should be your goal not the opposite.",Negative
31,Will not answer my call. Messed up my order 4times in and hour!,Negative
32,Slow always have wait for my food and have to go back in to get it fixed.  No one ever iles or has a none fake smile. No welcome to McDonald's or have a great day especially in drive through . And if you do say something's wrong you get a major attitude especially from the shift manager guy tall black guy .  ( Sorry don't know his name ),Negative
33,"Normally this location does pretty good, but last night was absolutely ridiculous. I sat in the drive thru for almost an hour waiting to get my order taken, the line was wrapped almost TWICE around the building, and finally I gave up and tried driving up to the window to give them my order since i was next in line. When i got to the window, they told me they couldn't take it and I'd have to go back around. I told them I'd like to put in my order here since I've been waiting all this time, and they proceeded to still refuse and that it's my fault for waiting in the second lane that they claimed was closed and had a sign out. The second lane was open, and the ""sign"" they were talking about was a wet floor sign they had placed right next to the drive-thru menu. I told them the lane looked open from our side and they still proceeded to argue with me, and then slammed the drive thru window shut. I've never received such deplorable customer service in my life, and if any managers are reading this, I highly suggest firing the two workers from last night.",Negative
34,"Rude customer service, unprofessional attitude, overcooked food, no complimentary items for screwing up our orders. I don't understand how you can keep your job when there is so many negative reviews. I vow to never eat here again. I would rather eat a cold can of baked beans...",Negative
35,"Representative was very rude and disrespectful,  refused fulfilling my order and simply hung up on me on the drive through window... never was I so disappointed at that location before. Manager pretended like nothing even happened.",Negative
36,They got our order correct and didn't cut me off before I had finished ordering our food at the speaker. I could actually understand our order taker. I don't know if it really gets any better than that at a fast food place anymore.,Neutral
37,Good quick drive through service.  Was a long line but went very quickly.,Positive 
38,I go here all the time. Great staff.. NVR get my food wrong it's just always a line wrapped around lol that's why they ain't 5 stars. Most def customer service is better then the food but hey I just go for my kids because they love it so why not! Good customer service guys! Makes all the difference,Positive 
39,I went to pick up food from the restaurant at late night through drive through. I was told to wait near the door and I will be getting the order but even after waiting 15 minutes no one came with the food. Orders are already assigned and even after coming through drive through it takes more than half an hour to get it which is not good. Lots of people behind me got the food but no one cared about the driver who is already waiting from long time. Thank you,Negative
40,"OPEN 24HRS all the darn time!!  If there are 24 hours in every day and then 7 days in a week then that means this place is open eleventeen million hours a year.  I dont even know how they find people to work here I mean how do they shower or brush their teeth or change clothes if they are always there.... I think I may have an idea: they are robots.  Or clones, like this example that's Dolly the sheep she's pretty hot NGL.",Positive 
41,"It was late, order was wrong, person taking order needs to slow down,",Positive 
42,"The manager IS RUDE at 13749 183 research Blvd.in north Austin TX. HAD TO GO BACK INTO THE  DINER  3 TIMES AND THE 3RD TIME THE MANAGER DIDNT EVEN ACKOWLEDGE WE WERE EVEN THERE.. DISCRIPTION OF SAID MANAGER SPANISH ABOUT 5 FT TALL AND HAD LONG BLONDOISH HAIR PULLED BACK INTO A PONY TAIL. READ PREVIOUS REVIEWS AND THRY WERE NOT GOOD
NEED TO CHECK OUT WHAT IS GOING ON .",Negative
43,Never would come back here again my mother was asking for a coke and the lady became rude and said to her coworker in Spanish omg this fat women it hurt me that she said that and we know what she said so teach your employees how to speck properly in front of people,Negative
44,"Never gotten my order wrong, employees seem to change a lot but they're consistently quick and nice. Also the prices here are lower than other locations, I don't know why but its a total welcome change haha.",Positive 
45,They run out of fry containers and constantly forget sauces. The dining room is still closed for some reason so have fun getting back in line for a sauce. Sometimes the fries aren't great which is a huge part of McDonald's. Come on guys...,Neutral
